"","X1","X2","Keywords","keywords_clean"
"207","E31","Price Level; Inflation; Deflation","Baumol's Disease, Consumer Price Index, Cost Push, Deflation, Disinflation, Fisher Effect, Hyperinflation, Hypoinflation, Indexation, Inflation, Inflation Growth, Inflation Indexed, Inflation Stabilization, Inflation Unemployment, Inflationary Expectations, Money Illusion, NAIRU, Natural Rate, Output Inflation, Phillips Curve, Price Level, Prices, Producer Price Index, Purchasing Power, Relative Price Variability, Retail Price Index, Stagflation, Taylor Rule, Wholesale Price Index, Zero Inflation. ","baumols disease consumer price index cost push deflation disinflation fisher effect hyperinflation hypoinflation indexation inflation inflation growth inflation indexed inflation stabilization inflation unemployment inflationary expectations money illusion nairu natural rate output inflation phillips curve price level prices producer price index purchasing power relative price variability retail price index stagflation taylor rule wholesale price index zero inflation "
"208","E32","Business Fluctuations; Cycles",", Animal Spirit, Boom, Boom Bust, Bubble, Business Confidence, Business Cycle, Business Fluctuation, Bust, Chaos, Concertina Effect, Consumer Confidence, Contraction, Countercyclical, Credit Cycle, Crisis, Cyclic, Debt Cycle, Depression, Downturn, Economic Fluctuations, Expansion, Fisher Cycle, Fluctuation, International Business Cycles, Juglar Cycle, Kondratieff Cycle, Leading Indicators, Long Cycle, Long Wave, Oscillations, Political Business Cycle, Procyclical, Real Business Cycle, Recession, Stabilizer, Stagnation, Sunspot, Turbulence. "," animal spirit boom boom bust bubble business confidence business cycle business fluctuation bust chaos concertina effect consumer confidence contraction countercyclical credit cycle crisis cyclic debt cycle depression downturn economic fluctuations expansion fisher cycle fluctuation international business cycles juglar cycle kondratieff cycle leading indicators long cycle long wave oscillations political business cycle procyclical real business cycle recession stabilizer stagnation sunspot turbulence "
"209","E37","Prices, Business Fluctuations, and Cycles: Forecasting and Simulation: Models and Applications","Business Cycle Forecast, Business Cycle Simulation, Econometric Modeling, Forecasting, Model Projection, Price Forecasting, Simulation. ","business cycle forecast business cycle simulation econometric modeling forecasting model projection price forecasting simulation "
"210","E39","Prices, Business Fluctuations, and Cycles: Other","None Specified","none specified"
"211","E40","Money and Interest Rates: General","Debit Cards, Definition of Money, Emergence of Money, Fiat Money, M1, Measurement of Money, Monetary Exchange Models, Role of Money. ","debit cards definition money emergence money fiat money m measurement money monetary exchange models role money "
"212","E41","Demand for Money","Cash In Advance, Currency Substitution, Liquidity Preference, Money Demand, Money Illusion, Money Velocity, Quantity Theory of Money, Velocity of Money. ","cash advance currency substitution liquidity preference money demand money illusion money velocity quantity theory money velocity money "
"213","E42","Monetary Systems; Standards; Regimes; Government and the Monetary System; Payment Systems","Banknote, Bimetallism, Bitcoin, Block Chain, Bullion, Coinage, Commodity Standard, Credit Card, Cryptocurrency, Currency, Currency Privatization, Currency Substitution, Dollarization, Dual Currency, Free Banking, Gold, Gold Standard, Litecoin, Monetary Regime, Monetary Standard, Monetary System, Noncash Payments, Payment System, Seigniorage, Silver Standard, Specie, Tokenomics. ","banknote bimetallism bitcoin block chain bullion coinage commodity standard credit card cryptocurrency currency currency privatization currency substitution dollarization dual currency free banking gold gold standard litecoin monetary regime monetary standard monetary system noncash payments payment system seigniorage silver standard specie tokenomics "
"214","E43","Interest Rates: Determination, Term Structure, and Effects","Discount Rate, Financial Market, Fisher Effect, Government Bonds, Interest, Interest Parity, Interest Rate Policy, Interest Rates, Key Rate, Nominal Interest Rates, Real Interest Rates, Spot Rate, T Bill, T Bond, Target Rate, Taylor Rule, Term Structure of Interest Rates, Yield. ","discount rate financial market fisher effect government bonds interest interest parity interest rate policy interest rates key rate nominal interest rates real interest rates spot rate t bill t bond target rate taylor rule term structure interest rates yield "
"215","E44","Financial Markets and the Macroeconomy","Asset Price, Bank Run, Contagion, Credit Rationing, Financial Markets, Financial Sector, Real Activity, Stock Market. ","asset price bank run contagion credit rationing financial markets financial sector real activity stock market "
"216","E47","Money and Interest Rates: Forecasting and Simulation: Models and Applications","Forecasting, Interest Rate Forecasting, Money Demand Forecasting, Simulation. ","forecasting interest rate forecasting money demand forecasting simulation "
"217","E49","Money and Interest Rates: Other","None Specified","none specified"
"218","E50","Monetary Policy, Central Banking, and the Supply of Money and Credit: General","Flow of Funds, Monetary, Monetary Data. ","flow funds monetary monetary data "
"219","E51","Money Supply; Credit; Money Multipliers","Credit, Credit Crunch, Credit Rationing, Inside Money, Loanable Funds, M1, M2, M3, Monetary Base, Money Multiplier, Money Neutrality, Money Nonneutrality, Money Price, Money Supply, Outside Money, Quantity Theory of Money. ","credit credit crunch credit rationing inside money loanable funds m m m monetary base money multiplier money neutrality money nonneutrality money price money supply outside money quantity theory money "
"220","E52","Monetary Policy","Central Bank, Discount Rate, ECB, Fed, Federal Funds Rate, FOMC, Inflation Targeting, Interest Rates, Monetary Instrument, Monetary Policy, Monetary Target, Money Creation, Open Market Operations, Policy, Policy Effects, Policy Making, Reserve Requirements, Stabilization. ","central bank discount rate ecb fed federal funds rate fomc inflation targeting interest rates monetary instrument monetary policy monetary target money creation open market operations policy policy effects policy making reserve requirements stabilization "
"221","E58","Central Banks and Their Policies","Bundesbank, Central Bank Independence, Central Bank Organization, Central Banking, ECB, Fed, Federal Reserve Board, Federal Reserve System, FOMC, Interest Rates, Lender of Last Resort, Monetary Policy, Open Market Operations, Reserve Requirements. ","bundesbank central bank independence central bank organization central banking ecb fed federal reserve board federal reserve system fomc interest rates lender last resort monetary policy open market operations reserve requirements "
"222","E59","Monetary Policy, Central Banking, and the Supply of Money and Credit: Other","None Specified","none specified"
"223","E60","Macroeconomic Policy, Macroeconomic Aspects of Public Finance, and General Outlook: General","Announcement Effect, Macroeconomic Outlook, Macroeconomic Policy. ","announcement effect macroeconomic outlook macroeconomic policy "
"224","E61","Policy Objectives; Policy Designs and Consistency; Policy Coordination","Control Theory, Macroeconomic Policy Consistency, Macroeconomic Policy Coordination, Macroeconomic Policy Design, Policy Making, Policy Rules, Policy Target. ","control theory macroeconomic policy consistency macroeconomic policy coordination macroeconomic policy design policy making policy rules policy target "
"225","E62","Fiscal Policy","Balanced Budget, Balanced Budget Multiplier, Crowding Out, Debt, Deficit, Fiscal Policy, Generational Accounting, Government Bonds, Government Budget Constraint, Government Revenue, Government Spending, Inflationary Finance, Intergenerational Conflict, Intergenerational Equity, Intergenerational Transfers, Laffer Curve, National Budget, National Deficit, Public Capital, Public Expenditures, Public Investment, Ricardian Equivalence, Stimulus Package, Taxation. ","balanced budget balanced budget multiplier crowding debt deficit fiscal policy generational accounting government bonds government budget constraint government revenue government spending inflationary finance intergenerational conflict intergenerational equity intergenerational transfers laffer curve national budget national deficit public capital public expenditures public investment ricardian equivalence stimulus package taxation "
"226","E63","Comparative or Joint Analysis of Fiscal and Monetary Policy; Stabilization; Treasury Policy","Active, Fiscal Policy, Inflation Stabilization, Macroeconomic Stabilization, Monetary Policy, Passive, Policy Mix, Regime Switching, Treasury Policy. ","active fiscal policy inflation stabilization macroeconomic stabilization monetary policy passive policy mix regime switching treasury policy "
"227","E64","Incomes Policy; Price Policy","Incomes Policy, Price Control, Price Policy, Price Support, Wage Control, Wage Regulation. ","incomes policy price control price policy price support wage control wage regulation "
"228","E65","Studies of Particular Policy Episodes","Case Study, Economic Rationalism, Macroeconomic Policy, Reaganomics, Stimulus Package, Supply Side Policy, Thatcherism. ","case study economic rationalism macroeconomic policy reaganomics stimulus package supply side policy thatcherism "
"229","E66","General Outlook and Conditions","Current Conditions, Economic Outlook, Eurosclerosis, General Outlook, Macroeconomic Prospects. ","current conditions economic outlook eurosclerosis general outlook macroeconomic prospects "
"230","E69","Macroeconomic Policy, Macroeconomic Aspects of Public Finance, and General Outlook: Other","Labor Reform, SME Policy. ","labor reform sme policy "
"231","E70","Macro-Based Behavioral Economics: General","Behavioral, Macroeconomics. ","behavioral macroeconomics "
"232","E71","Macro-Based Behavioral Economics: Role and Effects of Psychological, Emotional, Social, and Cognitive Factors on the Macro Economy","Behavioral, Behavioral Macroeconomics, Disaster Myopia, Framing, Nudge, Projection Bias. ","behavioral behavioral macroeconomics disaster myopia framing nudge projection bias "
"233","F00","International Economics: General","Autarky, Globalization, International, International Relations, Trade. ","autarky globalization international international relations trade "
"234","F01","Global Outlook","Eurocentric, Global Outlook, Globalism, World Economy. ","eurocentric global outlook globalism world economy "
"235","F02","International Economic Order and Integration","Bretton Woods, COMECON, Division of Labor, Economic Globalization, Economic Integration, European Economic Community, Financial Globalization, Free Trade Area, Globalism, Globalization, Integration, International Economic Order, International Industrial Order, International Public Goods, International Relations, Monetary Union, Multilateralism, Multinational Bargaining, New International Economic Order, North South, Optimum Integration Area, Sanctions. ","bretton woods comecon division labor economic globalization economic integration european economic community financial globalization free trade area globalism globalization integration international economic order international industrial order international public goods international relations monetary union multilateralism multinational bargaining new international economic order north south optimum integration area sanctions "
"236","F10","Trade: General","Export, Foreign Trade, Import, Trade, Trading Partners. ","export foreign trade import trade trading partners "
"237","F11","Neoclassical Models of Trade","Comparative Advantage, Comparative Cost, Factor Price, Factor Price Equalization, Gains from Trade, Heckscher Ohlin, Immiserizing Growth, Leontief Paradox, Marshall Lerner, Neoclassical Trade Models, Stolper Samuelson, Terms of Trade, Trade Theoretic, Transport Costs. ","comparative advantage comparative cost factor price factor price equalization gains trade heckscher ohlin immiserizing growth leontief paradox marshall lerner neoclassical trade models stolper samuelson terms trade trade theoretic transport costs "
"238","F12","Models of Trade with Imperfect Competition and Scale Economies; Fragmentation","Comparative Cost, Fragmentation, Gorman Polar, Gravity Model, Heterogeneous Firms, Intra Industry Trade, Monopolies, Monopolistic Competition, New Trade Theory, Oligopolies, Oligopolistic, Product Differentiation, Scale Economies, Strategic Trade, Trade and Geography, Trade Models. ","comparative cost fragmentation gorman polar gravity model heterogeneous firms intra industry trade monopolies monopolistic competition new trade theory oligopolies oligopolistic product differentiation scale economies strategic trade trade geography trade models "
"239","F13","Trade Policy; International Trade Organizations","Agreement, Anti Dumping, APEC, ASEAN, Commercial Policy, Commodity Agreements, Customs Union, Duty, Duty Free, EFTA, Export Led, Export Promoting, Export Restrictions, GATT, Import, Import Restricted, Import Subsidies, Import Substitution, Infant Industry, International Trade Agreements, International Trade Organizations, Liberalization, Lome Convention, Managed Trade, Most Favored Nation, Multilateralism, NAFTA, Nontariff Barrier, Nontradable, Openness, Optimal Trade Policy, Policy Making, Protectionist, Quotas, Rent Seeking, Smoot Hawley, Strategic Trade, Subsidies, Tariff, Trade Agreements, Trade Policy, WTO. ","agreement anti dumping apec asean commercial policy commodity agreements customs union duty duty free efta export led export promoting export restrictions gatt import import restricted import subsidies import substitution infant industry international trade agreements international trade organizations liberalization lome convention managed trade favored nation multilateralism nafta nontariff barrier nontradable openness optimal trade policy policy making protectionist quotas rent seeking smoot hawley strategic trade subsidies tariff trade agreements trade policy wto "
"240","F14","Empirical Studies of Trade","Comparative Advantage, Export Led, Export Price, Export Restrictions, Foreign Trade, Import, Import Competing, Import Price, Import Substitution, International Trade, Interregional Trade, Intra Industry Trade, Intra Regional Trade, J Curve, Leontief Paradox, Most Favored Nation, Terms of Trade, Trade Balance, Trade Deficit, Trade Imbalance, Trade Partners, Trade Statistics, Trade Surplus, Trade Volume. ","comparative advantage export led export price export restrictions foreign trade import import competing import price import substitution international trade interregional trade intra industry trade intra regional trade j curve leontief paradox favored nation terms trade trade balance trade deficit trade imbalance trade partners trade statistics trade surplus trade volume "
"241","F15","Economic Integration","AFTA, APEC, ASEAN, Customs Union, EC, Economic Integration, EEC, EFTA, EU, Integration, Lome Convention, MERCOSUR, NAFTA, WTO. ","afta apec asean customs union ec economic integration eec efta eu integration lome convention mercosur nafta wto "
"242","F16","Trade and Labor Market Interactions","Factor Price, Labor Market, Transfer Problem. ","factor price labor market transfer problem "
"243","F17","Trade: Forecasting and Simulation","Forecasting, Trade Forecast, Trade Projection, Trade Simulation. ","forecasting trade forecast trade projection trade simulation "
"244","F18","Trade and Environment","Anti Dumping, Dumping, Environment. ","anti dumping dumping environment "
"245","F19","Trade: Other","Trade. ","trade "
"246","F20","International Factor Movements and International Business: General","Capital Mobility, FDI, Foreign Direct Investment, International Business, Labor Mobility. ","capital mobility fdi foreign direct investment international business labor mobility "
"247","F21","International Investment; Long-term Capital Movements","Capital Inflow, FDI, Foreign Direct Investment, Foreign Investment, International Capital Movement, International Investment, Long Term Capital Movement, Net Capital Outflow, Rate of Return, Transfer Problem. ","capital inflow fdi foreign direct investment foreign investment international capital movement international investment long term capital movement net capital outflow rate return transfer problem "
"248","F22","International Migration","Alien, Brain Drain, Emigration, Expatriate, Guestworker, Immigration, International Factor Movements, International Migration, Labor Migration, Migration, Out Migration, Population Migration, Refugee, Transmigration. ","alien brain drain emigration expatriate guestworker immigration international factor movements international migration labor migration migration migration population migration refugee transmigration "
"249","F23","Multinational Firms; International Business","FDI, FOB, Foreign Direct Investment, Foreign Investment, Foreign Ownership, International Business, International Competitiveness, International Factor Movements, International Outsourcing, Joint Venture, MNC, MNE, Multinational Firm, Nationalization, Offshore, TNC, Transnational. ","fdi fob foreign direct investment foreign investment foreign ownership international business international competitiveness international factor movements international outsourcing joint venture mnc mne multinational firm nationalization offshore tnc transnational "
"250","F24","Remittances","Migrant Remittances, Remittances. ","migrant remittances remittances "
"251","F29","International Factor Movements: Other","None Specified","none specified"
"252","F30","International Finance: General","Balance of Payments, Capital Account, Financial Globalization, International Finance, International Financial Data. ","balance payments capital account financial globalization international finance international financial data "
"253","F31","Foreign Exchange","Big Mac Parity, Crisis, Currency Crisis, Currency Revaluation, Currency Risk, Devaluation, Dual Exchange Rate, Dual Exchange Rates, Exchange Rates, Fixed Exchange Rate, Foreign Currency, Foreign Exchange, Foreign Exchange Reserves, Forward Rate, Informal Exchange Rate, Interest Parity, International Reserves, Intervention, J Curve, Money Price, Peg, Purchasing Power, Purchasing Power Parity, Real Exchange Rate, Reserves, Risk Premia, Spot Rate, Target Zone, Tobin Tax. ","big mac parity crisis currency crisis currency revaluation currency risk devaluation dual exchange rate dual exchange rates exchange rates fixed exchange rate foreign currency foreign exchange foreign exchange reserves forward rate informal exchange rate interest parity international reserves intervention j curve money price peg purchasing power purchasing power parity real exchange rate reserves risk premia spot rate target zone tobin tax "
"254","F32","Current Account Adjustment; Short-term Capital Movements","Adjustment Programs, Balance of Payments, Capital Control, Capital Flight, Capital Flow, Current Account, Financial Contagion, Financial Flow, Financial Liberalization, International Capital Movement, International Factor Movements, J Curve, Mundell Fleming Model, Trade Balance, Trade Imbalance. ","adjustment programs balance payments capital control capital flight capital flow current account financial contagion financial flow financial liberalization international capital movement international factor movements j curve mundell fleming model trade balance trade imbalance "
"255","F33","International Monetary Arrangements and Institutions","Bank for International Settlements, Bretton Woods, Convertibility, Currencies, Currency Substitution, Currency Union, Development Bank, Dollarization, Drawing Rights, Dual Currency, ECU, EMU, Eurocurrencies, Exchange Rate, Exchange Rate Regime, Fixed Exchange Rate, Flexible Exchange Rate, Foreign Exchange, Gold Standard, IMF, International Bank for Reconstruction and Development, International Monetary Arrangements, International Monetary Institutions, Peg, Silver Standard, Special Drawing Rights, Sterling Area, Washington Consensus, World Bank. ","bank international settlements bretton woods convertibility currencies currency substitution currency union development bank dollarization drawing rights dual currency ecu emu eurocurrencies exchange rate exchange rate regime fixed exchange rate flexible exchange rate foreign exchange gold standard imf international bank reconstruction development international monetary arrangements international monetary institutions peg silver standard special drawing rights sterling area washington consensus world bank "
"256","F34","International Lending and Debt Problems","Basel Accords, Country Risk, Creditor Nation, Creditworthiness, Debt Burden, Debt Crisis, Debt Rescheduling, Debt Service Ratio, Debtor Nation, Development Bank, Eurobonds, Eurocurrencies, External Debt, Foreign Debt, International Borrowing, International Debt, International Lending, Savings Investment, Sovereign Debt, USAID. ","basel accords country risk creditor nation creditworthiness debt burden debt crisis debt rescheduling debt service ratio debtor nation development bank eurobonds eurocurrencies external debt foreign debt international borrowing international debt international lending savings investment sovereign debt usaid "
"257","F35","Foreign Aid","Absorptive Capacity, Cash Aid, Donor Country, Emergency Relief, Foreign Aid, Foreign Assistance, In Kind Aid, International Assistance Program, International Bank for Reconstruction and Development, Lending, Official Development Assistance, Recipient Country, Transfer Paradox, USAID. ","absorptive capacity cash aid donor country emergency relief foreign aid foreign assistance kind aid international assistance program international bank reconstruction development lending official development assistance recipient country transfer paradox usaid "
"258","F36","Financial Aspects of Economic Integration","Currency Area, Currency Union, East Caribbean Central Bank, Economic Integration, ECU, EEC, EMU, EU, Eurocurrencies, European Economic Community, European Monetary Union, Integration, International Monetary Arrangements, Monetary Union, Optimal Currency Area, Sterling Area. ","currency area currency union east caribbean central bank economic integration ecu eec emu eu eurocurrencies european economic community european monetary union integration international monetary arrangements monetary union optimal currency area sterling area "
"259","F37","International Finance Forecasting and Simulation: Models and Applications","Current Account Forecasting, Foreign Exchange Forecasting, International Debt Forecasting, International Financial Forecasting. ","current account forecasting foreign exchange forecasting international debt forecasting international financial forecasting "
"260","F38","International Financial Policy: Financial Transactions Tax; Capital Controls","Capial Controls, Financial Transactions Tax, IMF Policies, International Financial Policy, International Financial Regulation. ","capial controls financial transactions tax imf policies international financial policy international financial regulation "
"261","F39","International Finance: Other","International Finance. ","international finance "
"262","F40","Macroeconomic Aspects of International Trade and Finance: General","International Comparison of Income, International Income Data, Open Economy Macroeconomics. ","international comparison income international income data open economy macroeconomics "
"263","F41","Open Economy Macroeconomics","External Supply Shocks, Foreign Trade Multiplier, Global Imbalances, Global Rebalancing, Macroeconomic Interdependence, Open Economy Macroeconomics, Open Economy Model, Small Open Economy. ","external supply shocks foreign trade multiplier global imbalances global rebalancing macroeconomic interdependence open economy macroeconomics open economy model small open economy "
"264","F42","International Policy Coordination and Transmission","Fiscal Policy, International Policy Coordination, International Policy Transmission, Macroeconomic Policy Coordination, Monetary Policy, Policy Convergence. ","fiscal policy international policy coordination international policy transmission macroeconomic policy coordination monetary policy policy convergence "
"265","F43","Economic Growth of Open Economies","Growth, Open Economy Growth. ","growth open economy growth "
"266","F44","International Business Cycles","Global Economic Crisis, International Business Cycles, International Business Fluctuation, International Business Trends, International Contagion, International Downturn, Leading Indicators. ","global economic crisis international business cycles international business fluctuation international business trends international contagion international downturn leading indicators "
"267","F45","Macroeconomic Issues of Monetary Unions","Macroeconomic Issues, Monetary Unions. ","macroeconomic issues monetary unions "
"268","F47","Macroeconomic Aspects of International Trade and Finance: Forecasting and Simulation: Models and Applications","Forecasting, International Business Cycle Forecasting, International Trade Forecasting, Open Economy Simulation, Simulation. ","forecasting international business cycle forecasting international trade forecasting open economy simulation simulation "
"269","F49","Macroeconomic Aspects of International Trade and Finance: Other","None Specified","none specified"
"270","F50","International Relations, National Security, and International Political Economy: General","International Political Economy, International Relations, National Security. ","international political economy international relations national security "
"271","F51","International Conflicts; Negotiations; Sanctions","Conflict, Conflict Cooperation, Conflict Resolution, International Conflict, International Negotiation, International Sanctions, Negotiation, Peace Keeping, Reconstruction, Sanctions, Terrorism, War. ","conflict conflict cooperation conflict resolution international conflict international negotiation international sanctions negotiation peace keeping reconstruction sanctions terrorism war "
"272","F52","National Security; Economic Nationalism","Disarmament, Economic Nationalism, National Security, Nationalism, Natural Resource Security, Patriotism, Protectionism. ","disarmament economic nationalism national security nationalism natural resource security patriotism protectionism "
"273","F53","International Agreements and Observance; International Organizations","CEMAC, FIFA, G-20, G-7, GCC, International Agreement, International Organization, NATO, OECD, Religious Organization, United Nations. ","cemac fifa g g gcc international agreement international organization nato oecd religious organization united nations "
"274","F54","Colonialism; Imperialism; Postcolonialism","Colonialism, Colony, Dependency Theory, Eurocentricism, Imperialism, Postcolonialism. ","colonialism colony dependency theory eurocentricism imperialism postcolonialism "
"275","F55","International Institutional Arrangements","Border, Cooperation, European Union, International Norms, Member States, Political Economy. ","border cooperation european union international norms member states political economy "
"276","F59","International Relations and International Political Economy: Other","None Specified","none specified"
"277","F60","Economic Impacts of Globalization: General","Economic Globalization, Globalization. ","economic globalization globalization "
"278","F61","Economic Impacts of Globalization: Microeconomic Impacts","Consumer Behavior, Distribution, Global, Globalization, Income, Industrial Organization, Inequality, Market Structure, Productivity. ","consumer behavior distribution global globalization income industrial organization inequality market structure productivity "
"279","F62","Economic Impacts of Globalization: Macroeconomic Impacts","Aggregate Consumption, Convergence, Economic Growth, Factor Share Distribution, Globalization, Growth, Policy Effectiveness, Wage Shares. ","aggregate consumption convergence economic growth factor share distribution globalization growth policy effectiveness wage shares "
"280","F63","Economic Impacts of Globalization: Economic Development","Developing Countries, Development, Gender, Globalization, Inequality, Integration, Less Developed Countries, Poverty. ","developing countries development gender globalization inequality integration less developed countries poverty "
"281","F64","Economic Impacts of Globalization: Environment","Environment, Foreign Direct Investment, Globalization, Multinational Corporations, Pollution Haven. ","environment foreign direct investment globalization multinational corporations pollution haven "
"282","F65","Economic Impacts of Globalization: Finance","Banking, Banking Crisis, Borrowing, Capital Flow, Credit, Debt, Financial Contagion, Financial Crisis, Financial Development, Financial Intermediaries, Foreign Debt, Globalization, Lending. ","banking banking crisis borrowing capital flow credit debt financial contagion financial crisis financial development financial intermediaries foreign debt globalization lending "
"283","F66","Economic Impacts of Globalization: Labor","Employment, Globalization, Labor Market, Unemployment, Unskilled, Wage. ","employment globalization labor market unemployment unskilled wage "
"284","F68","Economic Impacts of Globalization: Policy","Development Policy, Globalization, Globalization Policy, Industrial Policy, Policy, Policy Convergence, Policy Effectiveness, Public Policy. ","development policy globalization globalization policy industrial policy policy policy convergence policy effectiveness public policy "
"285","F69","Economic Impacts of Globalization: Other","None Specified","none specified"
"286","G00","Financial Economics: General","Financial Development, Financial Economics, Financial Intermediation. ","financial development financial economics financial intermediation "
"287","G01","Financial Crises","Banking Crisis, Crash, Crisis, Economic Crisis, Financial Crisis, Global Financial Crisis, Great Depression, Stock Market Crash. ","banking crisis crash crisis economic crisis financial crisis global financial crisis great depression stock market crash "
"288","G10","Asset Markets and Pricing","Administration of Securities Markets, Capital Market, Creation of Securities Markets, Emergence of securities markets, Measurement and Data, Securities Markets, Stock Market Data. ","administration securities markets capital market creation securities markets emergence securities markets measurement data securities markets stock market data "
"289","G11","Portfolio Choice; Investment Decisions","Asset Allocation, Capital Gain, Diversification, Investment Decisions, Portfolio, Portfolio Choice, Rate of Return, Risk Analysis, Risk Hedging, Risk Return, Technical Analysis, Value at Risk, Yield. ","asset allocation capital gain diversification investment decisions portfolio portfolio choice rate return risk analysis risk hedging risk return technical analysis value risk yield "
"290","G12","Equities; Fixed Income Securities","Annuities, Asset Price, Asset Pricing, Asset Returns, Beta, Bond Interest Rate, CAPM, Copula, DAX, Derivatives, Dow, Efficient Market Hypothesis, Equities, Equities, Equity Premium, Equity Pricing, Fixed Income Securities, Intangible Assets, January Effect, LIBOR, Market Microstructure, NASDAQ, NYSE, Price Earnings, Random Walk Hypothesis, Risk Premium, Stock Price, Stock Returns, Stocks, T Bill, T Bond, Trading Volume, Zerobonds. ","annuities asset price asset pricing asset returns beta bond interest rate capm copula dax derivatives dow efficient market hypothesis equities equities equity premium equity pricing fixed income securities intangible assets january effect libor market microstructure nasdaq nyse price earnings random walk hypothesis risk premium stock price stock returns stocks t bill t bond trading volume zerobonds "
"291","G13","Contingent Pricing; Futures Pricing; option pricing","Agricultural Commodities, Black Scholes, Commodities, Commodity Futures, Contingent Pricing, Cryptocurrencies, Cryptocurrency Markets, Cryptocurrency Trading, Derivatives, Forward Pricing, Futures Market, Market Microstructure, Option Pricing, Options, Options Futures, Put Call, Spot Market. ","agricultural commodities black scholes commodities commodity futures contingent pricing cryptocurrencies cryptocurrency markets cryptocurrency trading derivatives forward pricing futures market market microstructure option pricing options options futures put call spot market "
"292","G14","Information and Market Efficiency; Event Studies; Insider Trading","Announcements, Efficient Market Hypothesis, Event Studies, Information Acquisition, Insider Trading, Market Efficiency, Market Inefficiency, Market Microstructure, News. ","announcements efficient market hypothesis event studies information acquisition insider trading market efficiency market inefficiency market microstructure news "
"293","G15","International Financial Markets","Currency Markets, Eurobonds, Foreign Assets, Foreign Exchange Markets, Foreign Exchange Reserves, International Finance, International Financial Markets, Market Microstructure, Risk Premia, Sovereign Bonds, Tobin Tax. ","currency markets eurobonds foreign assets foreign exchange markets foreign exchange reserves international finance international financial markets market microstructure risk premia sovereign bonds tobin tax "
"294","G17","Financial Forecasting and Simulation","Financial Forecast, Forecasting Returns, Risk Analysis, Stock Market Forecasting, Stock Market Simulation, Volatility Forecasting. ","financial forecast forecasting returns risk analysis stock market forecasting stock market simulation volatility forecasting "
"295","G18","General Financial Markets: Government Policy and Regulation","Basel Accords, Commodity Regulation, Deregulation, Financial Authority, Financial Market Policy, Financial Regulation, Insider Trading, Investor Protection, Policy, Regulation, SEC. ","basel accords commodity regulation deregulation financial authority financial market policy financial regulation insider trading investor protection policy regulation sec "
"296","G19","General Financial Markets: Other","None Specified","none specified"
"297","G20","Financial Institutions and Services: General","Financial Institutions, Financial Services. ","financial institutions financial services "
"298","G21","Banks; Depository Institutions; Micro Finance Institutions; Mortgages","Adjustable Rate Mortgage, Bank, Bank Lending, Banking Crisis, Borrowing, Building Society, Checking, Commercial Banks, Consumer Credit, Consumer Debt, Credit, Credit Card, Credit Crunch, Credit Quota, Credit Rationing, Credit Union, Debit Card, Deposit, Deposit Insurance, Depository, Financial Intermediaries, Financial Risk, Fixed Rate Mortgage, Fixed Term, Foreclosure, Free Banking, Government Agency Securities, Lending, Microfinance, Mobile Banking, Mortgage, Mortgage Market, National Bank, Online Banking, Overdraft, Rediscount Policy, Refinancing, Regional Bank, Reserve Requirements, Reserves, Retail Bank, Risk Assessment, Savings and Loan, Savings Bank, Securitization. ","adjustable rate mortgage bank bank lending banking crisis borrowing building society checking commercial banks consumer credit consumer debt credit credit card credit crunch credit quota credit rationing credit union debit card deposit deposit insurance depository financial intermediaries financial risk fixed rate mortgage fixed term foreclosure free banking government agency securities lending microfinance mobile banking mortgage mortgage market national bank online banking overdraft rediscount policy refinancing regional bank reserve requirements reserves retail bank risk assessment savings loan savings bank securitization "
"299","G22","Insurance; Insurance Companies; Actuarial Studies","Actuaries, Annuities, Annuity Markets, Automobile Insurance, Deductible, Disability Insurance, Fully Funded, Health Insurance, Insurance, Insurance Premium, Microinsurance, Portability, Risk Assessment, Ruin, Social Insurance. ","actuaries annuities annuity markets automobile insurance deductible disability insurance fully funded health insurance insurance insurance premium microinsurance portability risk assessment ruin social insurance "
"300","G23","Pension Funds; Non-bank Financial Institutions; Financial Instruments; Institutional Investors","Annuity Funds, Building Society, Clearing House, Financial Instruments, Financial Intermediaries, Hedge Funds, Index Funds, Institutional Investors, Mutual Fund, Pension Fund, Private Financial Institutions, REITS, Shadow Bank, Sovereign Wealth Funds. ","annuity funds building society clearing house financial instruments financial intermediaries hedge funds index funds institutional investors mutual fund pension fund private financial institutions reits shadow bank sovereign wealth funds "
"301","G24","Investment Banking; Venture Capital; Brokerage; Ratings and Ratings Agencies","Broker Dealer, Broker Investor, Brokerage, Investment Banking, IPO, Rating Agency, Security Analyst, Venture Capital. ","broker dealer broker investor brokerage investment banking ipo rating agency security analyst venture capital "
"302","G28","Financial Institutions and Services: Government Policy and Regulation","Bailout, Bank License, Bank Regulation, Basel Accords, Capital Requirements, Deposit Insurance, Deregulation, Disclosure, Dodd Frank, FDIC, Federal Reserve Board, FSLIC, Glass Steagall, Policy, Policy Making, Regulation, Standard, Stress Testing, Supervision. ","bailout bank license bank regulation basel accords capital requirements deposit insurance deregulation disclosure dodd frank fdic federal reserve board fslic glass steagall policy policy making regulation standard stress testing supervision "
"303","G29","Financial Institutions and Services: Other","None Specified","none specified"
"304","G30","Corporate Finance and Governance: General","Corporate Finance, Corporate Governance, Corporations, Unincorporated Firms. ","corporate finance corporate governance corporations unincorporated firms "
